Generated with
tshark -r wired-prefetch.pcapng -T fields -e frame.number -e frame.time -e ip.src -e ip.dst -e tcp.len -E header=y -E separator=, -E quote=d -E occurrence=f  > wired-prefetch.csv

frame.number,frame.time,ip.src,ip.dst,tcp.len
"155","Dec  3, 2015 17:38:17.510801000","10.0.2.15","167.114.84.145","1571"
"156","Dec  3, 2015 17:38:17.510907000","167.114.84.145","10.0.2.15","0"
"157","Dec  3, 2015 17:38:17.512411000","10.0.2.15","167.114.84.145","543"
"158","Dec  3, 2015 17:38:17.512501000","167.114.84.145","10.0.2.15","0"
"159","Dec  3, 2015 17:38:17.513297000","10.0.2.15","167.114.84.145","1057"
"160","Dec  3, 2015 17:38:17.513397000","167.114.84.145","10.0.2.15","0"
"161","Dec  3, 2015 17:38:17.514302000","10.0.2.15","167.114.84.145","1057"
"162","Dec  3, 2015 17:38:17.514406000","167.114.84.145","10.0.2.15","0"
"163","Dec  3, 2015 17:38:17.519300000","10.0.2.15","167.114.84.145","1057"
"164","Dec  3, 2015 17:38:17.519412000","167.114.84.145","10.0.2.15","0"
"165","Dec  3, 2015 17:38:17.520164000","10.0.2.15","167.114.84.145","1057"
"166","Dec  3, 2015 17:38:17.520264000","167.114.84.145","10.0.2.15","0"
"167","Dec  3, 2015 17:38:17.525809000","10.0.2.15","167.114.84.145","1057"
"168","Dec  3, 2015 17:38:17.525814000","167.114.84.145","10.0.2.15","0"
"169","Dec  3, 2015 17:38:17.532202000","167.114.84.145","10.0.2.15","1448"
"170","Dec  3, 2015 17:38:17.532210000","10.0.2.15","167.114.84.145","0"
"171","Dec  3, 2015 17:38:17.532252000","167.114.84.145","10.0.2.15","1448"
"172","Dec  3, 2015 17:38:17.532271000","10.0.2.15","167.114.84.145","0"
"173","Dec  3, 2015 17:38:17.533401000","10.0.2.15","167.114.84.145","1057"
"174","Dec  3, 2015 17:38:17.533489000","167.114.84.145","10.0.2.15","0"
"175","Dec  3, 2015 17:38:17.534012000","167.114.84.145","10.0.2.15","731"
"176","Dec  3, 2015 17:38:17.540571000","10.0.2.15","167.114.84.145","1057"
"177","Dec  3, 2015 17:38:17.540665000","167.114.84.145","10.0.2.15","0"
"178","Dec  3, 2015 17:38:17.546243000","10.0.2.15","167.114.84.145","1057"
"179","Dec  3, 2015 17:38:17.546468000","167.114.84.145","10.0.2.15","0"
"180","Dec  3, 2015 17:38:17.552838000","10.0.2.15","167.114.84.145","1057"
"181","Dec  3, 2015 17:38:17.552905000","167.114.84.145","10.0.2.15","0"
"182","Dec  3, 2015 17:38:17.564353000","167.114.84.145","10.0.2.15","543"
"183","Dec  3, 2015 17:38:17.599649000","10.0.2.15","167.114.84.145","1057"
"184","Dec  3, 2015 17:38:17.599926000","167.114.84.145","10.0.2.15","0"
"185","Dec  3, 2015 17:38:17.694536000","167.114.84.145","10.0.2.15","1448"
"186","Dec  3, 2015 17:38:17.694680000","10.0.2.15","167.114.84.145","0"
"187","Dec  3, 2015 17:38:17.694782000","167.114.84.145","10.0.2.15","1448"
"188","Dec  3, 2015 17:38:17.694813000","10.0.2.15","167.114.84.145","0"
"189","Dec  3, 2015 17:38:17.694886000","167.114.84.145","10.0.2.15","731"
"190","Dec  3, 2015 17:38:17.705234000","167.114.84.145","10.0.2.15","1448"
"191","Dec  3, 2015 17:38:17.705253000","10.0.2.15","167.114.84.145","0"
"192","Dec  3, 2015 17:38:17.705325000","167.114.84.145","10.0.2.15","1448"
"193","Dec  3, 2015 17:38:17.705335000","10.0.2.15","167.114.84.145","0"
"194","Dec  3, 2015 17:38:17.705414000","167.114.84.145","10.0.2.15","1448"
"195","Dec  3, 2015 17:38:17.705419000","10.0.2.15","167.114.84.145","0"
"196","Dec  3, 2015 17:38:17.705459000","167.114.84.145","10.0.2.15","1448"
"197","Dec  3, 2015 17:38:17.705463000","10.0.2.15","167.114.84.145","0"
"198","Dec  3, 2015 17:38:17.705668000","167.114.84.145","10.0.2.15","1448"
"199","Dec  3, 2015 17:38:17.705672000","10.0.2.15","167.114.84.145","0"
"200","Dec  3, 2015 17:38:17.705704000","167.114.84.145","10.0.2.15","1448"
